Wavelength (micron)  Noise (photon/spectral_pixel)
       1.0767156       490.05972
       1.0768242       465.21258
       1.0769328       446.53650
       1.0770414       467.74853
       1.0771500       585.55853
       1.0772586       802.12322
       1.0773672       1027.3336
       1.0774758       1151.3540
       1.0775844       1112.7426
       1.0776930       929.89457
       1.0778016       691.32950
       1.0779102       505.49551
       1.0780188       422.40278
       1.0781274       403.78574
       1.0782360       405.12298
       1.0783446       412.23515
       1.0784532       420.69015
       1.0785618       427.65042
       1.0786704       435.78899
       1.0787790       450.33803
       1.0788876       460.87917
       1.0789962       448.97931
       1.0791048       424.23474
       1.0792134       420.72765
       1.0793220       451.45927
       1.0794306       496.51436
       1.0795392       530.51255
       1.0796478       536.78414
       1.0797564       512.45353
       1.0798650       472.31374
       1.0799736       440.79374
       1.0800822       434.12245
       1.0801908       450.62614
       1.0802994       474.48713
       1.0804080       487.16889
       1.0805166       479.34335
       1.0806252       455.55700
       1.0807338       430.75418
       1.0808424       419.05016
       1.0809510       421.09468
       1.0810596       426.52740
       1.0811682       427.40090
       1.0812768       424.38376
       1.0813854       428.57117
       1.0814940       494.42556
       1.0816026       734.43974
       1.0817112       1105.5761
       1.0818198       1364.3329
       1.0819284       1311.5522
       1.0820370       993.22635
       1.0821456       647.34172
       1.0822542       464.71556
       1.0823628       416.93670
       1.0824714       405.68027
       1.0825800       405.00479
       1.0826886       425.11770
       1.0827972       511.71247
       1.0829058       749.92414
       1.0830144       1202.4612
       1.0831230       1845.3785
       1.0832316       2529.2232
       1.0833402       3012.8137
       1.0834488       3091.4071
       1.0835574       2720.1483
       1.0836660       2045.9966
       1.0837746       1338.9567
       1.0838832       871.76359
       1.0839918       770.96555
       1.0841004       930.96939
       1.0842090       1240.0465
       1.0843176       1579.6263
       1.0844262       1785.5134
       1.0845348       1744.4055
       1.0846434       1461.5916
       1.0847520       1056.7494
       1.0848606       700.60616
       1.0849692       518.89737
       1.0850778       488.14430
       1.0851864       502.65497
       1.0852950       518.21503
       1.0854036       531.26166
       1.0855122       558.18746
       1.0856208       645.01784
       1.0857294       810.75645
       1.0858380       985.94040
       1.0859466       1073.7149
       1.0860552       1025.4657
       1.0861638       864.51526
